# bicep3, run09 optical efficiency results, 20170201
BODY 
GCP,     MCE,     TILE,    MODULE, DET_COL, DET_ROW, MCE_COL, MCE_ROW, POL,    TYPE,   RGL,     RNTI,             PSAT_LN2,          PSAT_AMBIENT,      DPDT                 
,        ,        ,        ,       ,        ,        ,        ,        ,       ,       ,        mOhm,             pW @074K,          pW @242K,          pW/K                 
integer, integer, integer, string, integer, integer, integer, integer, string, string, integer, float,            float,             float,             float                
98,      0,       8,       P25,    5,       1,       4,       10,      B,      L,      1,       95.5889387555667, 206.470026799313,  188.147807524874,  0.104103518604772    
99,      0,       8,       P25,    4,       7,       4,       11,      A,      L,      1,       106.84323077386,  170.772619330599,  152.197503990049,  0.105540428071309    
100,     0,       8,       P25,    4,       7,       4,       12,      B,      L,      1,       106.150686529251, 171.859681303842,  152.680625906563,  0.108971905666357    
101,     0,       8,       P25,    4,       5,       4,       13,      A,      L,      1,       96.4864733536111, 161.778410290744,  143.361174886657,  0.104643382977766    
102,     0,       8,       P25,    4,       5,       4,       14,      B,      L,      1,       95.0454269315782, 162.76002018944,   143.629500098434,  0.108696136880717    
103,     0,       8,       P25,    4,       3,       4,       15,      A,      L,      1,       92.8561630068103, 161.127530396088,  144.647211641557,  0.0936381747416535   
104,     0,       8,       P25,    4,       3,       4,       16,      B,      L,      1,       92.1263946853558, 159.123261746621,  139.587572847749,  0.110998232379957    
105,     0,       8,       P25,    4,       1,       4,       17,      A,      L,      1,       99.4576573901769, 173.496859374399,  155.146208289527,  0.104265062982227    
106,     0,       8,       P25,    4,       1,       4,       18,      B,      L,      1,       97.3488752739689, 210.476150556818,  191.849733035499,  0.105831917734762    
107,     0,       8,       P25,    3,       7,       4,       19,      A,      L,      1,       110.737314550317, 165.33242391167,   146.254124898354,  0.108399426212024    
108,     0,       8,       P25,    3,       7,       4,       20,      B,      L,      1,       109.939295795511, 166.713043050294,  147.31896760038,   0.110193610510874    
109,     0,       8,       P25,    NaN,     NaN,     4,       21,      ,       O,      1,       NaN,              NaN,               NaN,               NaN                  
110,     0,       8,       P25,    8,       7,       5,       0,       A,      L,      1,       119.922151147188, 226.358813319487,  207.495568662315,  0.107177526461204    
111,     0,       8,       P25,    8,       7,       5,       1,       B,      L,      1,       129.8214009704,   182.283293700117,  162.738965266364,  0.111047320646319    
112,     0,       8,       P25,    8,       5,       5,       2,       A,      L,      1,       NaN,              NaN,               NaN,               NaN                  
113,     0,       8,       P25,    8,       5,       5,       3,       B,      L,      1,       NaN,              NaN,               NaN,               NaN                  
114,     0,       8,       P25,    8,       3,       5,       4,       A,      L,      1,       92.2111906785527, 200.304145055148,  181.049149128516,  0.109403385946774    
115,     0,       8,       P25,    8,       3,       5,       5,       B,      L,      1,       93.7915515602925, 196.910913630396,  177.761023225519,  0.108806195482255    
116,     0,       8,       P25,    8,       1,       5,       6,       B,      D,      1,       100.917415441331, 219.858706255809,  201.438951175875,  0.104657699317809    
117,     0,       8,       P25,    7,       7,       5,       7,       A,      L,      1,       110.759704106566, 176.33938200761,   157.472664863589,  0.10719725650012     
118,     0,       8,       P25,    7,       7,       5,       8,       B,      L,      1,       138.838935132887, 21.6039786283771,  50.5937197088667,  NaN                  
119,     0,       8,       P25,    7,       5,       5,       9,       A,      L,      1,       NaN,              NaN,               NaN,               NaN                  
120,     0,       8,       P25,    7,       5,       5,       10,      B,      L,      1,       116.306419400558, 109.620753038686,  96.9665183053628,  0.071899060984793    
121,     0,       8,       P25,    7,       3,       5,       11,      A,      L,      1,       91.209477735863,  194.650522041255,  176.044291889615,  0.10571721677068     
122,     0,       8,       P25,    7,       3,       5,       12,      B,      L,      1,       92.0303438018568, 202.783911963623,  183.832963006571,  0.107675846346884    
123,     0,       8,       P25,    7,       1,       5,       13,      A,      L,      1,       94.0878672478239, 167.81068245825,   148.284488285805,  0.110944285070712    
124,     0,       8,       P25,    7,       1,       5,       14,      B,      L,      1,       92.9396901213888, 178.795008082205,  159.875208590155,  0.107498860750285    
125,     0,       8,       P25,    6,       7,       5,       15,      A,      L,      1,       106.951409578803, 174.910757062761,  155.851925183358,  0.108288817496611    
126,     0,       8,       P25,    6,       7,       5,       16,      B,      L,      1,       108.950187208365, 180.028610126718,  160.774847579609,  0.109396378108577    
127,     0,       8,       P25,    6,       5,       5,       17,      A,      L,      1,       95.3196502614285, 162.363055513666,  143.787377316963,  0.10554362611763     
128,     0,       8,       P25,    6,       5,       5,       18,      B,      L,      1,       94.8989977174004, 182.125896319468,  163.085528699498,  0.108183906931647    
129,     0,       8,       P25,    6,       3,       5,       19,      A,      L,      1,       89.8529097128777, 182.146548920174,  164.071368078544,  0.102699891145621    
130,     0,       8,       P25,    6,       3,       5,       20,      B,      L,      1,       90.6042577098513, 188.855863305284,  169.50899204462,   0.109925404890137    
131,     0,       8,       P25,    NaN,     NaN,     5,       21,      ,       O,      1,       NaN,              NaN,               NaN,               NaN                  
132,     0,       13,      P4,     NaN,     NaN,     6,       0,       ,       O,      1,       NaN,              NaN,               NaN,               NaN                  
133,     0,       13,      P4,     6,       4,       6,       1,       A,      L,      1,       85.9833090940133, 116.356513910461,  97.3915464729069,  0.107755496804285    
134,     0,       13,      P4,     6,       4,       6,       2,       B,      L,      1,       86.2994476186558, 116.026614768118,  96.8657701986528,  0.108868435053782    
135,     0,       13,      P4,     6,       6,       6,       3,       A,      L,      1,       86.6035547895211, 118.369229236436,  99.6540285318063,  0.106336367639941    
136,     0,       13,      P4,     6,       6,       6,       4,       B,      L,      1,       88.5701420305603, 117.448296839355,  98.6429781447085,  0.106848401674131    
137,     0,       13,      P4,     6,       8,       6,       5,       A,      L,      1,       97.5929974211247, 126.611533170774,  108.539069322878,  0.102684453681228    
138,     0,       13,      P4,     6,       8,       6,       6,       B,      L,      1,       98.1325762391878, 121.879011507809,  103.478579972559,  0.104547906450284    
139,     0,       13,      P4,     7,       2,       6,       7,       A,      L,      1,       91.9465381417315, 113.900817025644,  96.0891451411376,  0.101202681161966    
140,     0,       13,      P4,     7,       2,       6,       8,       B,      L,      1,       94.474576007789,  110.961342685281,  93.101101591301,   0.101478642579434    
141,     0,       13,      P4,     7,       4,       6,       9,       A,      L,      1,       88.7160003444824, 114.663893176528,  95.7168395214374,  0.107653713949379    
142,     0,       13,      P4,     7,       4,       6,       10,      B,      L,      1,       89.8922772898871, 116.501569745336,  97.786204399571,   0.10633730310094     
143,     0,       13,      P4,     7,       6,       6,       11,      A,      L,      1,       90.5293289412331, 116.85324680669,   98.6276176842974,  0.103554710922685    
144,     0,       13,      P4,     7,       6,       6,       12,      B,      L,      1,       NaN,              NaN,               NaN,               NaN                  
145,     0,       13,      P4,     7,       8,       6,       13,      A,      L,      1,       102.41761736433,  130.112020328976,  111.812451877949,  0.103974820744473    
146,     0,       13,      P4,     7,       8,       6,       14,      B,      L,      1,       104.142523736577, 130.93773353278,   112.781371670041,  0.103161146947383    
147,     0,       13,      P4,     8,       2,       6,       15,      A,      L,      1,       97.3080025634414, 124.61345057366,   107.017155205101,  0.0999789509577223   
