Date_________JDUT, , ,Azi_(a-app), Elev_(a-app),
************************************************
$$SOE
2459548.601388889,*,m, 186.637602,    21.645712,
2459548.602083333,*,m, 186.387680,    21.645821,
2459548.602777778,*,m, 186.137757,    21.645930,
2459548.603472222,*,m, 185.887834,    21.646039,
2459548.604166667,*,m, 185.637912,    21.646149,
2459548.604861111,*,m, 185.387989,    21.646258,
2459548.605555556,*,m, 185.138067,    21.646368,
2459548.606250000,*,m, 184.888144,    21.646478,
2459548.606944445,*,m, 184.638221,    21.646588,
2459548.607638889,*,m, 184.388299,    21.646698,
2459548.608333333,*,m, 184.138376,    21.646808,
2459548.609027778,*,m, 183.888454,    21.646918,
2459548.609722222,*,m, 183.638531,    21.647028,
2459548.610416667,*,m, 183.388609,    21.647139,
2459548.611111111,*,m, 183.138686,    21.647250,
2459548.611805555,*,m, 182.888763,    21.647360,
2459548.612500000,*,m, 182.638841,    21.647471,
2459548.613194444,*,m, 182.388918,    21.647582,
2459548.613888889,*,m, 182.138996,    21.647694,
2459548.614583333,*,m, 181.889073,    21.647805,
2459548.615277778,*,m, 181.639151,    21.647916,
2459548.615972222,*,m, 181.389228,    21.648028,
2459548.616666667,*,m, 181.139306,    21.648139,
2459548.617361111,*,m, 180.889383,    21.648251,
2459548.618055556,*,m, 180.639461,    21.648363,
2459548.618750000,*,m, 180.389538,    21.648475,
2459548.619444444,*,m, 180.139616,    21.648587,
2459548.620138889,*,t, 179.889693,    21.648700,
2459548.620833333,*,m, 179.639771,    21.648812,
2459548.621527778,*,m, 179.389848,    21.648925,
2459548.622222222,*,m, 179.139926,    21.649037,
2459548.622916667,*,m, 178.890003,    21.649150,
2459548.623611111,*,m, 178.640080,    21.649263,
2459548.624305556,*,m, 178.390158,    21.649376,
2459548.625000000,*,m, 178.140235,    21.649489,
2459548.625694444,*,m, 177.890313,    21.649603,
2459548.626388889,*,m, 177.640390,    21.649716,
2459548.627083333,*,m, 177.390468,    21.649830,
2459548.627777778,*,m, 177.140545,    21.649943,
2459548.628472222,*,m, 176.890623,    21.650057,
2459548.629166667,*,m, 176.640700,    21.650171,
2459548.629861111,*,m, 176.390778,    21.650285,
2459548.630555556,*,m, 176.140855,    21.650400,
2459548.631250000,*,m, 175.890933,    21.650514,
2459548.631944444,*,m, 175.641010,    21.650628,
2459548.632638889,*,m, 175.391088,    21.650743,
2459548.633333333,*,m, 175.141165,    21.650858,
2459548.634027778,*,m, 174.891243,    21.650972,
2459548.634722222,*,m, 174.641320,    21.651087,
2459548.635416667,*,m, 174.391398,    21.651203,
2459548.636111111,*,m, 174.141475,    21.651318,
2459548.636805556,*,m, 173.891553,    21.651433,
2459548.637500000,*,m, 173.641630,    21.651549,
2459548.638194445,*,m, 173.391708,    21.651664,
2459548.638888889,*,m, 173.141785,    21.651780,
2459548.639583333,*,m, 172.891863,    21.651896,
2459548.640277778,*,m, 172.641940,    21.652012,
2459548.640972222,*,m, 172.392017,    21.652128,
2459548.641666667,*,m, 172.142095,    21.652244,
2459548.642361111,*,m, 171.892172,    21.652360,
2459548.643055555,*,m, 171.642250,    21.652477,
2459548.643750000,*,m, 171.392327,    21.652593,
2459548.644444444,*,m, 171.142405,    21.652710,
2459548.645138889,*,m, 170.892482,    21.652827,
2459548.645833333,*,m, 170.642559,    21.652944,
2459548.646527778,*,m, 170.392637,    21.653061,
2459548.647222222,*,m, 170.142714,    21.653178,
2459548.647916667,*,m, 169.892792,    21.653296,
2459548.648611111,*,m, 169.642869,    21.653413,
2459548.649305556,*,m, 169.392946,    21.653531,
2459548.650000000,*,m, 169.143024,    21.653648,
2459548.650694444,*,m, 168.893101,    21.653766,
2459548.651388889,*,m, 168.643178,    21.653884,
2459548.652083333,*,m, 168.393256,    21.654002,
2459548.652777778,*,m, 168.143333,    21.654120,
2459548.653472222,*,m, 167.893410,    21.654239,
2459548.654166667,*,m, 167.643488,    21.654357,
2459548.654861111,*,m, 167.393565,    21.654476,
2459548.655555556,*,m, 167.143642,    21.654595,
2459548.656250000,*,m, 166.893720,    21.654713,
2459548.656944444,*,m, 166.643797,    21.654832,
2459548.657638889,*,m, 166.393874,    21.654951,
2459548.658333333,*,m, 166.143951,    21.655071,
2459548.659027778,*,m, 165.894029,    21.655190,
2459548.659722222,*,m, 165.644106,    21.655309,
2459548.660416667,*,m, 165.394183,    21.655429,
2459548.661111111,*,m, 165.144260,    21.655549,
2459548.661805556,*,m, 164.894338,    21.655668,
2459548.662500000,*,m, 164.644415,    21.655788,
2459548.663194444,*,m, 164.394492,    21.655908,
2459548.663888889,*,m, 164.144569,    21.656029,
2459548.664583333,*,m, 163.894646,    21.656149,
2459548.665277778,*,m, 163.644723,    21.656269,
2459548.665972222,*,m, 163.394801,    21.656390,
2459548.666666667,*,m, 163.144878,    21.656511,
2459548.667361111,*,m, 162.894955,    21.656631,
2459548.668055556,*,m, 162.645032,    21.656752,
2459548.668750000,*,m, 162.395109,    21.656873,
2459548.669444445,*,m, 162.145186,    21.656994,
2459548.670138889,*,m, 161.895263,    21.657116,
2459548.670833333,*,m, 161.645340,    21.657237,
2459548.671527778,*,m, 161.395417,    21.657359,
2459548.672222222,*,m, 161.145494,    21.657480,
2459548.672916667,*,m, 160.895571,    21.657602,
2459548.673611111,*,m, 160.645648,    21.657724,
2459548.674305555,*,m, 160.395725,    21.657846,
2459548.675000000,*,m, 160.145802,    21.657968,
2459548.675694444,*,m, 159.895879,    21.658090,
2459548.676388889,*,m, 159.645956,    21.658213,
2459548.677083333,*,m, 159.396033,    21.658335,
2459548.677777778,*,m, 159.146110,    21.658458,
2459548.678472222,*,m, 158.896186,    21.658580,
2459548.679166667,*,m, 158.646263,    21.658703,
2459548.679861111,*,m, 158.396340,    21.658826,
2459548.680555556,*,m, 158.146417,    21.658949,
2459548.681250000,*,m, 157.896494,    21.659072,
2459548.681944444,*,m, 157.646571,    21.659196,
2459548.682638889,*,m, 157.396647,    21.659319,
2459548.683333333,*,m, 157.146724,    21.659443,
2459548.684027778,*,m, 156.896801,    21.659566,
2459548.684722222,*,m, 156.646878,    21.659690,
2459548.685416667,*,m, 156.396954,    21.659814,
2459548.686111111,*,m, 156.147031,    21.659938,
2459548.686805556,*,m, 155.897108,    21.660062,
2459548.687500000,*,m, 155.647184,    21.660186,
2459548.688194444,*,m, 155.397261,    21.660310,
2459548.688888889,*,m, 155.147337,    21.660435,
2459548.689583333,*,m, 154.897414,    21.660559,
